movieId,Title,bag_of_words
356,Forrest Gump,tomhanks rebeccawilliams sallyfield michaelconnerhumphreys robertzemeckis C o m e d y   D r a m a   R o m a n c e   W a r
116905,Patema Inverted,yukiyofujii nobuhikookamoto shintarôoohata shinyafukumatsu yasuhiroyoshiura A d v e n t u r e   A n i m a t i o n   D r a m a   F a n t a s y   S c i - F i
3825,Coyote Ugly,piperperabo adamgarcia johngoodman mariabello davidmcnally C o m e d y   D r a m a   R o m a n c e
2699,Arachnophobia,jeffdaniels harleyjanekozak johngoodman juliansands frankmarshall C o m e d y   H o r r o r
2084,Newsies,christianbale davidmoscow lukeedwards maxcasella kennyortega C h i l d r e n   M u s i c a l
34,Babe,christinecavanaugh miriammargolyes dannymann hugoweaving chrisnoonan C h i l d r e n   D r a m a
61323,Burn After Reading,"georgeclooney francesmcdormand bradpitt johnmalkovich ethancoen,joelcoen C o m e d y   C r i m e   D r a m a"
3515,Me Myself I,rachelgriffiths davidroberts sandywinton yaelstone pipkarmel C o m e d y   R o m a n c e
34048,War of the Worlds,tomcruise dakotafanning mirandaotto justinchatwin stevenspielberg A c t i o n   A d v e n t u r e   S c i - F i   T h r i l l e r
2002,Lethal Weapon 3,melgibson dannyglover joepesci renerusso richarddonner A c t i o n   C o m e d y   C r i m e   D r a m a
2329,American History X,edwardnorton edwardfurlong beverlyd'angelo jenniferlien tonykaye C r i m e   D r a m a
590,Dances with Wolves,kevincostner marymcdonnell grahamgreene rodneya.grant kevincostner A d v e n t u r e   D r a m a   W e s t e r n
260,Star Wars: Episode IV - A New Hope,markhamill harrisonford carriefisher petercushing georgelucas A c t i o n   A d v e n t u r e   S c i - F i
142488,Spotlight,markruffalo michaelkeaton rachelmcadams lievschreiber tommccarthy T h r i l l e r
60074,Hancock,willsmith charlizetheron jasonbateman jaehead peterberg A c t i o n   A d v e n t u r e   C o m e d y   C r i m e   F a n t a s y
208,Waterworld,kevincostner chaimjeraffi rickaviles r.d.call kevinreynolds A c t i o n   A d v e n t u r e   S c i - F i
80906,Inside Job,mattdamon gylfizoega andrisnærmagnason sigridurbenediktsdottir charlesferguson D o c u m e n t a r y
719,Multiplicity,michaelkeaton andiemacdowell zackduhame katieschlossberg haroldramis C o m e d y
1889,Insomnia,alpacino martindonovan oliver'ole'zemen hilaryswank christophernolan D r a m a   M y s t e r y   T h r i l l e r
92420,Chronicle,danedehaan alexrussell michaelb.jordan michaelkelly joshtrank A c t i o n   S c i - F i   T h r i l l e r
88125,Harry Potter and the Deathly Hallows: Part 2,ralphfiennes michaelgambon alanrickman danielradcliffe davidyates A c t i o n   A d v e n t u r e   D r a m a   F a n t a s y   M y s t e r y   I M A X
382,Wolf,jacknicholson michellepfeiffer jamesspader katenelligan mikenichols D r a m a   H o r r o r   R o m a n c e   T h r i l l e r
5349,Spider-Man,tobeymaguire willemdafoe kirstendunst jamesfranco samraimi A c t i o n   A d v e n t u r e   S c i - F i   T h r i l l e r
492,Manhattan Murder Mystery,woodyallen dianekeaton jerryadler lynncohen woodyallen C o m e d y   M y s t e r y
170875,The Fate of the Furious,vindiesel jasonstatham dwaynejohnson michellerodriguez f.garygray A c t i o n   C r i m e   D r a m a   T h r i l l e r
60126,Get Smart,stevecarell annehathaway dwaynejohnson alanarkin petersegal A c t i o n   C o m e d y
589,Terminator 2: Judgment Day,arnoldschwarzenegger lindahamilton edwardfurlong robertpatrick jamescameron A c t i o n   S c i - F i
1784,As Good as It Gets,jacknicholson helenhunt gregkinnear cubagoodingjr. jamesl.brooks C o m e d y   D r a m a   R o m a n c e
2916,Total Recall,arnoldschwarzenegger rachelticotin sharonstone ronnycox paulverhoeven A c t i o n   A d v e n t u r e   S c i - F i   T h r i l l e r
4246,Bridget Jones's Diary,renéezellweger gemmajones celiaimrie jamesfaulkner sharonmaguire C o m e d y   D r a m a   R o m a n c e
96606,Samsara,balinesetarilegongdancers nimademegahadipratiwi putisricandradewi putudindapratika ronfricke D o c u m e n t a r y
106696,Frozen,"kristenbell idinamenzel jonathangroff joshgad chrisbuck,jenniferlee A d v e n t u r e   A n i m a t i o n   C o m e d y   F a n t a s y   M u s i c a l   R o m a n c e"
1236,Trust,cliveowen catherinekeener lianaliberato jasonclarke davidschwimmer C o m e d y   D r a m a   R o m a n c e
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,shawnwayans marlonwayans traceycherellejones chrisspencer parisbarclay C o m e d y   C r i m e
1947,West Side Story,"nataliewood richardbeymer russtamblyn ritamoreno jeromerobbins,robertwise D r a m a   M u s i c a l   R o m a n c e"
765,Jack,robinwilliams dianelane briankerwin jenniferlopez francisfordcoppola C o m e d y   D r a m a
79702,Scott Pilgrim vs. the World,michaelcera kieranculkin annakendrick alisonpill edgarwright A c t i o n   C o m e d y   F a n t a s y   M u s i c a l   R o m a n c e
532,Serial Mom,kathleenturner samwaterston rickilake matthewlillard johnwaters C o m e d y   C r i m e   H o r r o r
33794,Batman Begins,christianbale michaelcaine liamneeson katieholmes christophernolan A c t i o n   C r i m e   I M A X
6874,Kill Bill: Vol. 1,umathurman lucyliu vivicaa.fox darylhannah quentintarantino A c t i o n   C r i m e   T h r i l l e r
2028,Saving Private Ryan,tomhanks tomsizemore edwardburns barrypepper stevenspielberg A c t i o n   D r a m a   W a r
1584,Contact,jenamalone davidmorse jodiefoster geoffreyblake robertzemeckis D r a m a   S c i - F i
22,Copycat,sigourneyweaver hollyhunter dermotmulroney williammcnamara jonamiel C r i m e   D r a m a   H o r r o r   M y s t e r y   T h r i l l e r
50872,Ratatouille,"pattonoswalt ianholm louromano briandennehy bradbird,janpinkava(co-director) A n i m a t i o n   C h i l d r e n   D r a m a"
421,Black Beauty,docskeepintime alancumming seanbean davidthewlis carolinethompson A d v e n t u r e   C h i l d r e n   D r a m a
6016,City of God,"alexandrerodrigues leandrofirmino phellipehaagensen douglassilva fernandomeirelles,kátialund(co-director) A c t i o n   A d v e n t u r e   C r i m e   D r a m a   T h r i l l e r"
2112,Grand Canyon,dannyglover kevinkline stevemartin marymcdonnell lawrencekasdan C r i m e   D r a m a
3386,JFK,sallykirkland anthonyramirez raylepere stevereed oliverstone D r a m a   M y s t e r y   T h r i l l e r
2805,Mickey Blue Eyes,hughgrant jamescaan jeannetripplehorn burtyoung kellymakin C o m e d y   R o m a n c e
2291,Edward Scissorhands,johnnydepp winonaryder diannewiest anthonymichaelhall timburton D r a m a   F a n t a s y   R o m a n c e
31685,Hitch,willsmith evamendes kevinjames ambervalletta andytennant C o m e d y   R o m a n c e
25,Leaving Las Vegas,nicolascage elisabethshue juliansands richardlewis mikefiggis D r a m a   R o m a n c e
2616,Dick Tracy,warrenbeatty charliekorsmo michaeldonovano'donnell jimwilkey warrenbeatty A c t i o n   C r i m e
1061,Sleepers,kevinbacon billycrudup robertdeniro roneldard barrylevinson T h r i l l e r
3751,Chicken Run,"phildaniels lynnferguson melgibson tonyhaygarth peterlord,nickpark A n i m a t i o n   C h i l d r e n   C o m e d y"
170,Hackers,jonnyleemiller angelinajolie jessebradford matthewlillard iainsoftley A c t i o n   A d v e n t u r e   C r i m e   T h r i l l e r
500,Mrs. Doubtfire,robinwilliams sallyfield piercebrosnan harveyfierstein chriscolumbus C o m e d y   D r a m a
56367,Juno,ellenpage michaelcera jennifergarner jasonbateman jasonreitman C o m e d y   D r a m a   R o m a n c e
595,Beauty and the Beast,"robbybenson jessecorti rexeverhart angelalansbury garytrousdale,kirkwise A n i m a t i o n   C h i l d r e n   F a n t a s y   M u s i c a l   R o m a n c e   I M A X"
2004,Gremlins 2: The New Batch,zachgalligan phoebecates johnglover robertprosky joedante C o m e d y   H o r r o r
1020,Cool Runnings,leon douge.doug rawled.lewis malikyoba jonturteltaub C o m e d y
6188,Old School,lukewilson willferrell vincevaughn jeremypiven toddphillips C o m e d y
2997,Being John Malkovich,johncusack camerondiaz nedbellamy ericweinstein spikejonze C o m e d y   D r a m a   F a n t a s y
778,Trainspotting,ewanmcgregor ewenbremner jonnyleemiller kevinmckidd dannyboyle C o m e d y   C r i m e   D r a m a
44665,Lucky Number Slevin,joshhartnett brucewillis lucyliu morganfreeman paulmcguigan C r i m e   D r a m a   M y s t e r y
10,GoldenEye,piercebrosnan seanbean izabellascorupco famkejanssen martincampbell A c t i o n   A d v e n t u r e   T h r i l l e r
1917,Armageddon,brucewillis billybobthornton benaffleck livtyler michaelbay A c t i o n   R o m a n c e   S c i - F i   T h r i l l e r
1485,Liar Liar,jimcarrey mauratierney justincooper caryelwes tomshadyac C o m e d y
1358,Sling Blade,billybobthornton dwightyoakam j.t.walsh johnritter billybobthornton D r a m a
68157,Inglourious Basterds,bradpitt mélanielaurent christophwaltz eliroth quentintarantino A c t i o n   D r a m a   W a r
3949,Requiem for a Dream,ellenburstyn jaredleto jenniferconnelly marlonwayans darrenaronofsky D r a m a
3744,Shaft,samuell.jackson vanessawilliams jeffreywright christianbale johnsingleton A c t i o n   C r i m e   T h r i l l e r
5991,Chicago,tayediggs cliffsaunders catherinezeta-jones renéezellweger robmarshall C o m e d y   C r i m e   D r a m a   M u s i c a l
4487,Cocktail,tomcruise bryanbrown elisabethshue lisabanes rogerdonaldson D r a m a   R o m a n c e
112552,Whiplash,milesteller j.k.simmons paulreiser melissabenoist damienchazelle D r a m a
2891,"Happy, Texas",jeremynortham stevezahn williamh.macy allywalker markillsley C o m e d y
31878,Kung Fu Hustle,stephenchow xiaogangfeng wahyuen zhihuadong stephenchow A c t i o n   C o m e d y
1393,Jerry Maguire,tomcruise cubagoodingjr. renéezellweger kellypreston cameroncrowe D r a m a   R o m a n c e
3252,Scent of a Woman,alpacino chriso'donnell jamesrebhorn gabrielleanwar martinbrest D r a m a
165,Die Hard: With a Vengeance,brucewillis jeremyirons samuell.jackson grahamgreene johnmctiernan A c t i o n   C r i m e   T h r i l l e r
31,Dangerous Minds,michellepfeiffer georgedzundza courtneyb.vance robinbartlett johnn.smith D r a m a
4886,"Monsters, Inc.","johngoodman billycrystal marygibbs stevebuscemi petedocter,davidsilverman(co-director),leeunkrich(co-director) A d v e n t u r e   A n i m a t i o n   C h i l d r e n   C o m e d y   F a n t a s y"
1597,Conspiracy Theory,melgibson juliaroberts patrickstewart cylkcozart richarddonner D r a m a   M y s t e r y   R o m a n c e   T h r i l l e r
4306,Shrek,"mikemyers eddiemurphy camerondiaz johnlithgow andrewadamson,vickyjenson A d v e n t u r e   A n i m a t i o n   C h i l d r e n   C o m e d y   F a n t a s y   R o m a n c e"
44889,Reefer Madness: The Movie Musical,kristenbell christiancampbell nevecampbell alancumming andyfickman C o m e d y   D r a m a   M u s i c a l
2485,She's All That,freddieprinzejr. rachaelleighcook matthewlillard paulwalker robertiscove C o m e d y   R o m a n c e
1092,Basic Instinct,michaeldouglas sharonstone georgedzundza jeannetripplehorn paulverhoeven C r i m e   M y s t e r y   T h r i l l e r
253,Interview with the Vampire: The Vampire Chronicles,bradpitt christianslater virginiamccollam johnmcconnell neiljordan D r a m a   H o r r o r
293,Léon: The Professional,jeanreno garyoldman natalieportman dannyaiello lucbesson A c t i o n   C r i m e   D r a m a   T h r i l l e r
4378,Sexy Beast,raywinstone benkingsley ianmcshane amandaredman jonathanglazer C r i m e   D r a m a
3450,Grumpy Old Men,jacklemmon waltermatthau ann-margret burgessmeredith donaldpetrie C o m e d y
587,Ghost,patrickswayze demimoore tonygoldwyn stanleylawrence jerryzucker C o m e d y   D r a m a   F a n t a s y   R o m a n c e   T h r i l l e r
527,Schindler's List,liamneeson benkingsley ralphfiennes carolinegoodall stevenspielberg D r a m a   W a r
100163,Hansel & Gretel: Witch Hunters,jeremyrenner gemmaarterton famkejanssen pihlaviitala tommywirkola A c t i o n   F a n t a s y   H o r r o r   I M A X
2340,Meet Joe Black,bradpitt anthonyhopkins claireforlani jakeweber martinbrest R o m a n c e
8910,I Heart Huckabees,jasonschwartzman isabellehuppert dustinhoffman lilytomlin davido.russell C o m e d y
8376,Napoleon Dynamite,jonheder jongries aaronruell efrenramirez jaredhess C o m e d y
265,Like Water for Chocolate,marcoleonardi lumicavazos reginatorné marioivánmartínez alfonsoarau D r a m a   F a n t a s y   R o m a n c e
662,Fear,markwahlberg reesewitherspoon williampetersen amybrenneman jamesfoley T h r i l l e r
630,Carried Away,dennishopper amylocane amyirving julieharris brunobarreto D r a m a   R o m a n c e
1573,Face/Off,johntravolta nicolascage joanallen alessandronivola johnwoo A c t i o n   C r i m e   D r a m a   T h r i l l e r
4226,Memento,guypearce carrie-annemoss joepantoliano markboonejunior christophernolan M y s t e r y   T h r i l l e r
237,Forget Paris,billycrystal debrawinger joemantegna cynthiastevenson billycrystal C o m e d y   R o m a n c e
59784,Kung Fu Panda,"jackblack dustinhoffman angelinajolie ianmcshane markosborne,johnstevenson A c t i o n   A n i m a t i o n   C h i l d r e n   C o m e d y   I M A X"
292,Outbreak,dustinhoffman renerusso morganfreeman kevinspacey wolfgangpetersen A c t i o n   D r a m a   S c i - F i   T h r i l l e r
8957,Saw,leighwhannell caryelwes dannyglover kenleung jameswan H o r r o r   M y s t e r y   T h r i l l e r
3793,X-Men,hughjackman patrickstewart ianmckellen famkejanssen bryansinger A c t i o n   A d v e n t u r e   S c i - F i
3916,Remember the Titans,denzelwashington willpatton woodharris ryanhurst boazyakin D r a m a
302,Queen Margot,isabelleadjani danielauteuil jean-huguesanglade vincentperez patricechéreau D r a m a   R o m a n c e
7454,Van Helsing,hughjackman katebeckinsale richardroxburgh davidwenham stephensommers A c t i o n   A d v e n t u r e   F a n t a s y   H o r r o r
102445,Star Trek Into Darkness,chrispine zacharyquinto zoesaldana karlurban j.j.abrams A c t i o n   A d v e n t u r e   S c i - F i   I M A X
2926,Hairspray,johntravolta michellepfeiffer christopherwalken amandabynes adamshankman C o m e d y   D r a m a
2353,Enemy of the State,willsmith genehackman jonvoight lisabonet tonyscott A c t i o n   T h r i l l e r
116797,The Imitation Game,benedictcumberbatch keiraknightley matthewgoode rorykinnear mortentyldum D r a m a   T h r i l l e r   W a r
63082,Slumdog Millionaire,"devpatel saurabhshukla anilkapoor rajzutshi dannyboyle,loveleentandan(co-director) C r i m e   D r a m a   R o m a n c e"
1779,Sphere,dustinhoffman sharonstone samuell.jackson petercoyote barrylevinson S c i - F i   T h r i l l e r
8368,Harry Potter and the Prisoner of Azkaban,danielradcliffe richardgriffiths pamferris fionashaw alfonsocuarón A d v e n t u r e   F a n t a s y   I M A X
36,Dead Man Walking,susansarandon seanpenn robertprosky raymondj.barry timrobbins C r i m e   D r a m a
6367,Down with Love,renéezellweger ewanmcgregor sarahpaulson davidhydepierce peytonreed C o m e d y   R o m a n c e
257,Just Cause,seanconnery laurencefishburne katecapshaw blairunderwood arneglimcher M y s t e r y   T h r i l l e r
33166,Crash,karinaarroyave datobakhtadze sandrabullock doncheadle paulhaggis C r i m e   D r a m a
261,Little Women,winonaryder gabrielbyrne trinialvarado samanthamathis gillianarmstrong D r a m a
5445,Minority Report,tomcruise maxvonsydow steveharris nealmcdonough stevenspielberg A c t i o n   C r i m e   M y s t e r y   S c i - F i   T h r i l l e r
5377,About a Boy,"hughgrant nicholashoult sharonsmall madisoncook chrisweitz,paulweitz C o m e d y   D r a m a   R o m a n c e"
141648,We Are Your Friends,zacefron wesbentley emilyratajkowski jonnyweston maxjoseph D r a m a   R o m a n c e
296,Pulp Fiction,timroth amandaplummer lauralovelace johntravolta quentintarantino C o m e d y   C r i m e   D r a m a   T h r i l l e r
3174,Man on the Moon,jimcarrey gerrybecker greysonerikpendry brittanycolonna milosforman C o m e d y   D r a m a
77866,Robin Hood,russellcrowe cateblanchett maxvonsydow williamhurt ridleyscott A c t i o n   A d v e n t u r e   D r a m a   R o m a n c e   W a r
31658,Howl's Moving Castle,chiekobaishô takuyakimura akihiromiwa tatsuyagashûin hayaomiyazaki A d v e n t u r e   A n i m a t i o n   F a n t a s y   R o m a n c e
76,Screamers,peterweller roydupuis jenniferrubin andrewlauer christianduguay A c t i o n   S c i - F i   T h r i l l e r
4718,American Pie 2,jasonbiggs shannonelizabeth alysonhannigan chrisklein j.b.rogers C o m e d y
786,Eraser,arnoldschwarzenegger jamescaan vanessawilliams jamescoburn chuckrussell A c t i o n   D r a m a   T h r i l l e r
68954,Up,"edwardasner christopherplummer jordannagai bobpeterson petedocter,bobpeterson(co-director) A d v e n t u r e   A n i m a t i o n   C h i l d r e n   D r a m a"
2395,Rushmore,jasonschwartzman billmurray oliviawilliams seymourcassel wesanderson C o m e d y   D r a m a
553,Tombstone,"kurtrussell valkilmer samelliott billpaxton georgep.cosmatos,kevinjarre A c t i o n   D r a m a   W e s t e r n"
2712,Eyes Wide Shut,tomcruise nicolekidman madisoneginton jackiesawiris stanleykubrick D r a m a   M y s t e r y   T h r i l l e r
50792,Catch and Release,jennifergarner timothyolyphant samjaeger kevinsmith susannahgrant C o m e d y   D r a m a   R o m a n c e
1022,Cinderella,cateblanchett lilyjames richardmadden helenabonhamcarter kennethbranagh A n i m a t i o n   C h i l d r e n   F a n t a s y   M u s i c a l   R o m a n c e
2,Jumanji,robinwilliams jonathanhyde kirstendunst bradleypierce joejohnston A d v e n t u r e   C h i l d r e n   F a n t a s y
4019,Finding Forrester,seanconnery robbrown f.murrayabraham annapaquin gusvansant D r a m a
2302,My Cousin Vinny,joepesci ralphmacchio marisatomei mitchellwhitfield jonathanlynn C o m e d y
4022,Cast Away,paulsanchez lariwhite leonidciter davidallenbrooks robertzemeckis D r a m a
8636,Spider-Man 2,tobeymaguire kirstendunst jamesfranco alfredmolina samraimi A c t i o n   A d v e n t u r e   S c i - F i   I M A X
377,Speed,keanureeves dennishopper sandrabullock joemorton jandebont A c t i o n   R o m a n c e   T h r i l l e r
6,Heat,alpacino robertdeniro valkilmer jonvoight michaelmann A c t i o n   C r i m e   T h r i l l e r
232,Eat Drink Man Woman,sihunglung yu-wenwang chien-lienwu kuei-meiyang anglee C o m e d y   D r a m a   R o m a n c e
2324,Life Is Beautiful,robertobenigni nicolettabraschi giorgiocantarini giustinodurano robertobenigni C o m e d y   D r a m a   R o m a n c e   W a r
3160,Magnolia,pathealy genevievezweig markflanagan neilflynn paulthomasanderson D r a m a
1569,My Best Friend's Wedding,juliaroberts dermotmulroney camerondiaz ruperteverett p.j.hogan C o m e d y   R o m a n c e
1213,Goodfellas,robertdeniro rayliotta joepesci lorrainebracco martinscorsese C r i m e   D r a m a
1265,Groundhog Day,billmurray andiemacdowell chriselliott stephentobolowsky haroldramis C o m e d y   F a n t a s y   R o m a n c e
4067,Untamed Heart,christianslater marisatomei rosieperez kylesecor tonybill D r a m a   R o m a n c e
1345,Carrie,sissyspacek piperlaurie amyirving williamkatt briandepalma D r a m a   F a n t a s y   H o r r o r   T h r i l l e r
542,Son in Law,paulyshore carlagugino lanesmith cindypickett steverash C o m e d y   D r a m a   R o m a n c e
2683,Austin Powers: The Spy Who Shagged Me,mikemyers heathergraham michaelyork robertwagner jayroach A c t i o n   A d v e n t u r e   C o m e d y
39,Clueless,aliciasilverstone staceydash brittanymurphy paulrudd amyheckerling C o m e d y   R o m a n c e
31221,Elektra,jennifergarner goranvisnjic kirstenzien willyunlee robbowman A c t i o n   A d v e n t u r e   C r i m e   D r a m a
2231,Rounders,mattdamon gretchenmol johnmalkovich paulcicero johndahl D r a m a
8464,Super Size Me,chemeekawalker daniaabu-rmaileh amandakearsan christianbaucher morganspurlock C o m e d y   D o c u m e n t a r y   D r a m a
53125,Pirates of the Caribbean: At World's End,johnnydepp geoffreyrush orlandobloom keiraknightley goreverbinski A c t i o n   A d v e n t u r e   C o m e d y   F a n t a s y
1030,Pete's Dragon,brycedallashoward robertredford oakesfegley oonalaurence davidlowery A d v e n t u r e   A n i m a t i o n   C h i l d r e n   M u s i c a l
508,Philadelphia,tomhanks denzelwashington robertamaxwell buzzkilman jonathandemme D r a m a
434,Cliffhanger,sylvesterstallone johnlithgow michaelrooker janineturner rennyharlin A c t i o n   A d v e n t u r e   T h r i l l e r
3,Grumpier Old Men,waltermatthau jacklemmon sophialoren ann-margret howarddeutch C o m e d y   R o m a n c e
55247,Into the Wild,emilehirsch marciagayharden williamhurt jenamalone seanpenn A c t i o n   A d v e n t u r e   D r a m a
308,Three Colors: White,zbigniewzamachowski juliedelpy januszgajos jerzystuhr krzysztofkieslowski C o m e d y   D r a m a
2549,Wing Commander,freddieprinzejr. saffronburrows matthewlillard tchékykaryo chrisroberts A c t i o n   S c i - F i
2605,Entrapment,seanconnery catherinezeta-jones vingrhames willpatton jonamiel C r i m e   T h r i l l e r
420,Beverly Hills Cop III,eddiemurphy jontenney joeytravolta eugenecollier johnlandis A c t i o n   C o m e d y   C r i m e   T h r i l l e r
538,Six Degrees of Separation,stockardchanning willsmith donaldsutherland ianmckellen fredschepisi D r a m a
586,Home Alone,macaulayculkin joepesci danielstern johnheard chriscolumbus C h i l d r e n   C o m e d y
5625,Moonlight Mile,jakegyllenhaal dustinhoffman susansarandon alexialandeau bradsilberling D r a m a   R o m a n c e
1431,Beverly Hills Ninja,chrisfarley nicollettesheridan robinshou nathanielparker dennisdugan A c t i o n   C o m e d y
44199,Inside Man,denzelwashington cliveowen jodiefoster christopherplummer spikelee C r i m e   D r a m a   T h r i l l e r
881,First Kid,sinbad brockpierce blakeboyd timothybusfield davidmickeyevans C h i l d r e n   C o m e d y
437,Cops and Robbersons,chevychase jackpalance diannewiest robertdavi michaelritchie C o m e d y
4963,Ocean's Eleven,georgeclooney ceceliaannbirt paull.nolan carolflorence stevensoderbergh C r i m e   T h r i l l e r
95,Broken Arrow,johntravolta christianslater samanthamathis delroylindo johnwoo A c t i o n   A d v e n t u r e   T h r i l l e r
3328,Ghost Dog: The Way of the Samurai,forestwhitaker johntormey cliffgorman dennisliu jimjarmusch C r i m e   D r a m a
300,Quiz Show,johnturturro robmorrow ralphfiennes paulscofield robertredford D r a m a
5785,Jackass: The Movie,johnnyknoxville bammargera steve-o chrispontius jefftremaine A c t i o n   C o m e d y   D o c u m e n t a r y
39292,"Good Night, and Good Luck.",jeffdaniels davidstrathairn alexborstein roseabdoo georgeclooney C r i m e   D r a m a
608,Fargo,"williamh.macy stevebuscemi peterstormare kristinrudrüd joelcoen,ethancoen C o m e d y   C r i m e   D r a m a   T h r i l l e r"
3300,Pitch Black,vindiesel radhamitchell colehauser keithdavid davidtwohy H o r r o r   S c i - F i   T h r i l l e r
664,Faithful,cher chazzpalminteri ryano'neal paulmazursky paulmazursky C o m e d y
